sentence_id	text	lemma	translation	alignment
semeval2013.d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	ricardo ulate , a costa rican delegate , say it ' not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for they action .	Ricardo Ulate, un délégué costaricien, a déclaré qu'il n'était pas surprenant que les principaux pouvoirs se battent pour qui devrait supporter les coûts de freinage des gaz à effet de serre, même si les pays vulnérables sont devenus plus agressifs en cherchant à tenir les grands émetteurs responsables de leurs actions.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 5), (5, 5), (6, 4), (7, 6), (8, 8), (9, 10), (10, 9), (10, 11), (10, 12), (11, 13), (12, 14), (13, 15), (14, 16), (15, 17), (16, 18), (17, 20), (18, 20), (20, 22), (21, 23), (22, 24), (23, 25), (24, 26), (25, 21), (26, 28), (27, 34), (28, 30), (29, 35), (30, 36), (31, 37), (32, 40), (33, 39), (34, 41), (35, 42), (36, 43), (37, 44), (38, 45), (39, 46), (40, 47), (41, 48), (42, 49), (43, 50), (44, 51), (45, 52), (46, 53), (47, 54), (48, 55), (49, 56)]
semeval2013.d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .	this be clearly a game where a new economic hegemony be be develop , say ulate , who also serve as the regional mexico and central_america climate_change adviser for conservation international .	Il s'agit clairement d'un jeu où une nouvelle hégémonie économique est en cours de développement, a déclaré Ulate, qui est également conseillère régionale du Mexique et d'Amérique centrale pour la conservation International.	[(0, 0), (1, 1), (2, 3), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9), (8, 11), (9, 10), (10, 12), (11, 14), (12, 16), (13, 17), (14, 19), (15, 20), (16, 21), (17, 22), (18, 24), (19, 23), (20, 25), (21, 27), (22, 26), (23, 28), (24, 29), (25, 32), (26, 28), (27, 31), (29, 25), (30, 33), (31, 35), (32, 36), (33, 37)]
semeval2013.d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally bind treaty in copenhagen , although most of the major participant say the talk will produce a political deal at best .	Certains des pays les plus vulnérables à l'impact du changement climatique ont indiqué qu'ils continueraient de faire pression pour un traité juridiquement contraignant à Copenhague, bien que la plupart des principaux participants disent que les pourparlers produiront au mieux un accord politique.	[(0, 0), (1, 1), (2, 3), (3, 2), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 11), (11, 10), (12, 12), (12, 13), (13, 15), (14, 16), (15, 16), (16, 17), (17, 18), (18, 20), (19, 21), (20, 23), (21, 24), (22, 22), (22, 26), (23, 25), (24, 26), (25, 27), (26, 28), (27, 31), (29, 32), (30, 33), (31, 34), (32, 35), (33, 37), (34, 38), (35, 39), (36, 39), (37, 42), (38, 44), (39, 43), (40, 40), (41, 41), (42, 45)]
semeval2013.d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .	the alliance of small island state , which have 43 member , produce a 24-page draft treaty proposal early friday morning .	L'Alliance des petits États insulaires, qui compte 43 membres, a produit une proposition de traité de 24 pages tôt vendredi matin.	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 5), (5, 4), (6, 6), (7, 7), (8, 8), (9, 9), (10, 10), (11, 11), (12, 13), (13, 14), (14, 19), (14, 20), (16, 5), (16, 17), (17, 15), (18, 21), (19, 22), (20, 23), (21, 24)]
semeval2013.d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .	artur runge-metzger , who head international climate negotiation on behalf of the european commission , say the push by small island nation have `` put political pressure on the entire political process , '' in part because they be now unify and demand action from emerge economy such as china and india .	Artur Runge-Metzger, qui dirige les négociations internationales sur le climat au nom de la Commission européenne, a déclaré que la poussée des petites nations insulaires a «exercé une pression politique sur l'ensemble du processus politique», en partie parce qu'ils sont désormais unifiés et exigeants des économies émergentes telles que la Chine et l'Inde.	[(0, 0), (1, 1), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 9), (5, 9), (6, 12), (7, 8), (8, 13), (9, 14), (10, 15), (11, 16), (12, 18), (13, 17), (14, 19), (15, 21), (16, 23), (17, 24), (18, 25), (19, 26), (20, 28), (21, 27), (22, 29), (23, 30), (24, 31), (25, 34), (26, 33), (27, 35), (28, 36), (29, 37), (30, 40), (31, 39), (32, 42), (33, 41), (34, 43), (35, 44), (36, 45), (37, 47), (38, 48), (39, 49), (40, 50), (41, 51), (42, 52), (44, 53), (45, 54), (45, 55), (46, 54), (47, 56), (48, 57), (49, 59), (50, 60), (51, 62), (52, 63)]
semeval2013.d000.s023	The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .	the talk take on new urgency as delegate focus on the fact that they must resolve most of the outstanding issue before the head of government arrive to strike a deal .	Les pourparlers ont pris une nouvelle urgence alors que les délégués se concentraient sur le fait qu'ils doivent résoudre la plupart des problèmes en suspens avant l'arrivée des chefs de gouvernement pour conclure un accord.	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 10), (8, 12), (9, 13), (10, 14), (11, 15), (12, 16), (13, 17), (14, 18), (15, 19), (16, 21), (18, 20), (20, 23), (21, 26), (22, 9), (23, 30), (24, 31), (25, 32), (26, 28), (27, 33), (28, 34), (29, 35), (30, 36), (31, 37)]
semeval2013.d000.s024	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .	high-level official such as indian environment minister jairam ramesh and the chinese vice minister step off plane and race through the bellum center 's hall to closed-door meeting and news_conference so they could stake out claim that will be arbitrate over the next week .	Des responsables de haut niveau tels que le ministre indien de l'Environnement Jairam Ramesh et le vice-ministre chinois ont quitté les avions et ont couru dans les salles du Bella Center à des réunions à huis clos et à des conférences de presse afin qu'ils puissent porter des allégations qui seront arbitrées au cours de la semaine prochaine.	[(0, 3), (0, 4), (0, 17), (1, 0), (1, 1), (2, 5), (3, 6), (4, 9), (5, 12), (6, 8), (7, 13), (8, 14), (9, 15), (10, 16), (11, 18), (12, 17), (13, 17), (14, 20), (16, 22), (17, 23), (18, 25), (19, 26), (20, 21), (21, 30), (22, 31), (23, 11), (24, 22), (24, 28), (25, 32), (26, 37), (27, 34), (28, 38), (29, 43), (30, 41), (31, 44), (32, 46), (33, 47), (34, 48), (36, 50), (37, 51), (38, 52), (40, 53), (41, 55), (42, 57), (43, 59), (44, 58), (45, 60)]
semeval2013.d000.s025	The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .	the sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activist put on nightly show mock the country they think be sell out , and draft proposal be pass hand-to-hand on paper rather than via e-mail -- pose a challenge .	L'étalement de la collecte - où 13 000 personnes entrent et sortent du centre des congrès chaque jour, les militants de la guitare organisent des spectacles nocturnes se moquant des pays qu'ils pensent se vendre, et les propositions de projets sont transmises au corps à corps plutôt qu'à par e-mail - pose un défi.	[(0, 0), (1, 1), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (8, 8), (9, 9), (10, 10), (11, 10), (12, 11), (13, 12), (14, 13), (15, 15), (16, 16), (17, 14), (18, 17), (19, 18), (20, 19), (21, 24), (22, 21), (23, 25), (25, 28), (26, 27), (27, 30), (28, 31), (29, 32), (30, 34), (31, 35), (32, 35), (33, 37), (35, 38), (36, 39), (37, 43), (38, 41), (39, 44), (40, 45), (41, 47), (42, 46), (44, 50), (45, 51), (46, 53), (47, 54), (48, 55), (49, 56), (50, 57), (51, 58), (52, 59)]
semeval2013.d000.s026	The intensity is only building : nearly all of the key ministers are now here , and as early as Wednesday 60 heads of government will be in Copenhagen .	the intensity be only build : nearly all of the key minister be now here , and as early as wednesday 60 head of government will be in copenhagen .	L'intensité n'est que la construction: presque tous les ministres clés sont maintenant là, et dès mercredi 60, les chefs de gouvernement seront à Copenhague.	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 6), (5, 7), (6, 8), (7, 9), (8, 12), (9, 10), (10, 12), (11, 11), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (18, 18), (20, 19), (21, 20), (22, 23), (23, 24), (24, 25), (25, 21), (26, 26), (27, 27), (28, 28), (29, 29)]
semeval2013.d000.s027	We 're getting into the big leagues , said Carlos Manuel Rodriguez , vice president for global policy at Conservation International .	we be get into the big_league , say carlo manuel rodriguez , vice_president for global policy at conservation international .	Nous entrons dans les grandes ligues, a déclaré Carlos Manuel Rodriguez, vice-président de la politique mondiale chez Conservation International.	[(0, 0), (1, 1), (2, 1), (3, 2), (4, 3), (4, 15), (5, 4), (6, 5), (7, 6), (8, 8), (9, 9), (10, 10), (11, 11), (12, 12), (13, 13), (14, 13), (15, 14), (16, 17), (17, 16), (18, 18), (19, 19), (20, 20), (21, 21)]
semeval2013.d000.s028	The heavyweights are coming .	the heavyweight be come .	Les poids lourds arrivent.	[(0, 0), (1, 1), (1, 2), (2, 3), (3, 3), (4, 4)]
semeval2013.d001.s000	Baskonia gives away a victory in Israel	baskonium give away a victory in israel	Baskonia donne une victoire en Israël	[(0, 0), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5)]
semeval2013.d001.s001	Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses , and after the great performance by Mizra Teltovic , who was the best on his team with eight three-pointers scored ( 29 points ) , they now at the top of their group .	caja laboral achieve a stunning 82-91 victory on they visit to the maccabee electra court despite dusko ivanovic 's team 's heavy loss , and after the great performance by mizra teltovic , who be the best on he team with eight three-pointer score ( 29 point ) , they now at the top of they group .	Caja Laboral a remporté une superbe victoire de 82-91 lors de sa visite au tribunal de Maccabee Electra malgré les lourdes pertes de l'équipe de Dusko Ivanovic, et après la grande performance de Mizra Teltovic, qui était la meilleure de son équipe avec huit trois points de pointe (29 points), ils maintenant en haut de leur groupe.	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 5), (5, 8), (5, 9), (5, 10), (6, 6), (6, 52), (7, 11), (8, 13), (9, 14), (10, 15), (11, 25), (12, 18), (13, 19), (14, 16), (15, 20), (16, 28), (17, 29), (19, 26), (20, 22), (20, 25), (21, 22), (22, 23), (23, 30), (24, 31), (25, 32), (26, 33), (27, 34), (28, 35), (29, 36), (30, 37), (31, 38), (32, 39), (33, 40), (34, 41), (35, 42), (36, 43), (37, 44), (38, 45), (39, 46), (40, 47), (41, 48), (42, 49), (42, 50), (44, 53), (45, 54), (46, 55), (47, 56), (48, 57), (49, 58), (50, 59), (52, 60), (53, 61), (54, 62), (55, 63), (56, 64), (57, 65)]
semeval2013.d001.s002	The Vitorian team knew to make up for the significant absences of Herrmann , Oleson , Huertas and Micov with a big dose of involvement and teamwork , even though it had to hold out until the end to take the victory .	the vitorian team know to make up for the significant absence of herrmann , oleson , huerta and micov with a big dose of involvement and teamwork , even though it have to hold out until the end to take the victory .	L'équipe Vitorian savait compenser les absences importantes de Herrmann, Oleson, Huertas et Micov avec une grande dose d'implication et de travail d'équipe, même si elle devait tenir jusqu'à la fin pour remporter la victoire.	[(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 4), (8, 5), (9, 7), (10, 6), (11, 8), (12, 9), (13, 10), (14, 11), (15, 12), (16, 13), (17, 14), (18, 15), (19, 16), (20, 17), (21, 18), (22, 19), (23, 20), (24, 21), (25, 22), (26, 24), (26, 26), (27, 27), (28, 28), (29, 29), (30, 30), (31, 31), (33, 32), (35, 33), (36, 35), (37, 36), (38, 37), (39, 38), (40, 39), (41, 38), (41, 40), (42, 41)]
